Number,Volcano Name,Country,Region,Latitude,Longitude,Elev,Type,Status,Last Known
1507-123,Huanquihue Group,Argentina,Argentina,-39.87,-71.55,1300.0,Pyroclastic cone,Holocene,U
1504-03=,Huaynaputina,Peru,Peru,-16.608,-70.85,4850.0,Stratovolcano,Historical,D5
1900-028,Hudson Mountains,Antarctica,Antarctica,-74.33,-99.42,749.0,Stratovolcano,Uncertain,Unknown
1508-057,"Hudson, Cerro",Chile,Chile-S,-45.9,-72.97,1905.0,Stratovolcano,Historical,D1
1508-03=,Huequi,Chile,Chile-S,-42.377,-72.578,1318.0,Stratovolcano,Historical,D2
1501-05=,Huila,Colombia,Colombia,2.92,-76.05,5365.0,Stratovolcano,Historical,D5
0601-28=,Hulubelu,Indonesia,Sumatra,-5.35,104.6,1040.0,Caldera,Fumarolic,U
1401-093,"Humeros, Los",Mexico,Mexico,19.68,-97.45,3150.0,Caldera,Holocene,Unknown
0403-04=,Hunga Tonga-Hunga Ha'apai,Tonga,Tonga-SW Pacific,-20.57,-175.38,0.0,Submarine volcano,Historical,D1
0508-02=,Hunter Island,Pacific Ocean,SW Pacific,-22.4,172.05,297.0,Stratovolcano,Historical,D2
0601-172,Hutapanjang,Indonesia,Sumatra,-2.333,101.6,2021.0,Stratovolcano,Holocene,U
0601-171,Hutapanjang,Indonesia,Sumatra,-2.33,101.6,2021.0,Stratovolcano,Holocene,U
0503-011,Hydrographers Range,Papua New Guinea,New Guinea,-9.0,148.37,1915.0,Stratovolcano,Holocene,U
0503-05=,Iamalele,Papua New Guinea,D'Entrecasteaux Is,-9.52,150.53,200.0,Lava dome,Holocene,U
0608-03=,Ibu,Indonesia,Halmahera-Indonesia,1.475,127.642,1325.0,Stratovolcano,Historical,D1
0802-07=,Ibusuki Volc Field,Japan,Kyushu-Japan,31.22,130.57,922.0,Caldera,Historical,D6
1000-28=,Ichinsky,Russia,Kamchatka,55.68,157.73,3621.0,Stratovolcano,Holocene,U
1000-71-,Iettunup,Russia,Kamchatka,58.4,161.08,1340.0,Shield volcano,Holocene,U
0202-161,Igwisi Hills,Tanzania,Africa-E,-4.87,31.92,0.0,Tuff cone,Holocene,U
0603-35=,Ijen,Indonesia,Java,-8.058,114.242,2799.0,Stratovolcano,Historical,D1
1000-67-,Iktunup,Russia,Kamchatka,58.08,160.77,2300.0,Shield volcano,Holocene,U
1103-02-,Iliamna,United States,Alaska-SW,60.03,-153.08,3053.0,Stratovolcano,Historical,D2
0604-22=,Iliboleng,Indonesia,Lesser Sunda Is,-8.342,123.258,1659.0,Stratovolcano,Historical,D1
0604-24=,Ililabalekan,Indonesia,Lesser Sunda Is,-8.53,123.42,1018.0,Stratovolcano,Fumarolic,U
0604-17=,Ilimuda,Indonesia,Lesser Sunda Is,-8.478,122.671,1100.0,Stratovolcano,Fumarolic,U
0604-25=,Iliwerung,Indonesia,Lesser Sunda Is,-8.54,123.59,1018.0,Complex volcano,Historical,D1
1502-041,Illiniza,Ecuador,Ecuador,-0.659,-78.714,5248.0,Stratovolcano,Holocene,U
1403-06=,Ilopango,El Salvador,El Salvador,13.672,-89.053,450.0,Caldera,Historical,D3
1000-03=,Ilyinsky,Russia,Kamchatka,51.49,157.2,1578.0,Stratovolcano,Historical,D2
0601-101,Imun,Indonesia,Sumatra,2.15,98.93,1505.0,Unknown,Holocene,Unknown
1104-02-,Imuruk Lake,United States,Alaska-W,65.6,-163.92,610.0,Shield volcano,Radiocarbon,D6
0205-003,In Ezzane Volc Field,Algeria,Africa-N,23.0,10.833,,Volcanic field,Holocene?,?
1201-07-,Indian Heaven,United States,US-Washington,45.93,-121.82,1513.0,Shield volcano,Radiocarbon,D7
1104-05-,Ingakslugwat Hills,United States,Alaska-W,61.43,-164.47,190.0,Cinder cone,Holocene,U
0604-09=,Inielika,Indonesia,Lesser Sunda Is,-8.73,120.98,1559.0,Complex volcano,Historical,D2
0604-08=,Inierie,Indonesia,Lesser Sunda Is,-8.875,120.95,2245.0,Stratovolcano,Fumarolic,U
1203-13-,Inyo Craters,United States,US-California,37.692,-119.02,2629.0,Lava dome,Radiocarbon,D6
1402-19-,Ipala Volc Field,Guatemala,Guatemala,14.55,-89.63,1650.0,Stratovolcano,Holocene,U
0704-06-,Iraya,Philippines,Luzon-N of,20.469,122.01,1009.0,Stratovolcano,Historical,D6
1405-06=,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3432.0,Stratovolcano,Historical,D1
0703-041,Iriga,Philippines,Luzon-Philippines,13.457,123.457,1196.0,Stratovolcano,Historical,D5
0802-01=,Iriomote-jima,Japan,Ryukyu Is,24.558,124.0,-200.0,Submarine volcano,Historical,D2
1505-04=,Irruputuncu,Bolivia,Chile-N,-20.73,-68.55,5163.0,Stratovolcano,Historical,D1
1101-37-,Isanotski,United States,Aleutian Is,54.75,-163.73,2446.0,Stratovolcano,Historical,D3
0703-042,Isarog,Philippines,Luzon-Philippines,13.658,123.37,1966.0,Stratovolcano,Holocene,U
0101-03=,Ischia,Italy,Italy,40.73,13.897,789.0,Complex volcano,Historical,D6
1200-09-,Iskut-Unuk River Cones,Canada,Canada,56.58,-130.55,1880.0,Cinder cone,Radiocarbon,D3
1505-03=,Isluga,Chile,Chile-N,-19.15,-68.83,5050.0,Stratovolcano,Historical,D2
0303-014,Itasy Volc Field,Madagascar,Madagascar,-19.0,46.77,1800.0,Scoria cone,Radiocarbon,D7
0301-05=,"Ithnayn, Harrat",Saudi Arabia,Arabia-W,26.58,40.2,1625.0,Volcanic field,Holocene,U
0900-111,Ivao Group,Russia,Kuril Is,45.77,149.68,1426.0,Cinder cone,Holocene,U
0803-27=,Iwaki,Japan,Honshu-Japan,40.65,140.3,1625.0,Stratovolcano,Historical,D3
0803-24=,Iwate,Japan,Honshu-Japan,39.85,141.0,2041.0,Complex volcano,Historical,D2
0802-02=,Iwo-Tori-shima,Japan,Ryukyu Is,27.85,128.25,217.0,Complex volcano,Historical,D1
0804-12=,Iwo-jima,Japan,Volcano Is-Japan,24.75,141.33,161.0,Caldera,Historical,D1
1402-18-,Ixtepeque,Guatemala,Guatemala,14.42,-89.68,1292.0,Lava dome,Holocene,U
0604-11=,Iya,Indonesia,Lesser Sunda Is,-8.88,121.63,637.0,Stratovolcano,Historical,D1
0603-33=,Iyang-Argapura,Indonesia,Java,-7.97,113.57,3088.0,Complex volcano,Holocene,U
1403-03=,Izalco,El Salvador,El Salvador,13.813,-89.633,1950.0,Stratovolcano,Historical,D1
1401-082,Iztaccihuatl,Mexico,Mexico,19.179,-98.642,5230.0,Stratovolcano,Holocene,U
0803-01=,Izu-Tobu,Japan,Honshu-Japan,34.92,139.12,1406.0,Pyroclastic cone,Historical,D1
0202-165,Izumbwe-Mpoli,Tanzania,Africa-E,-8.93,33.4,1568.0,Pyroclastic cone,Holocene,U
0608-051,Jailolo,Indonesia,Halmahera-Indonesia,1.08,127.42,1130.0,Stratovolcano,Holocene,U
0703-08=,Jalajala,Philippines,Luzon-Philippines,14.35,121.33,743.0,Fumarole field,Fumarolic,Unknown
0201-03=,Jalua,Eritrea,Africa-NE,15.042,39.82,713.0,Stratovolcano,Holocene,U
1706-01=,Jan Mayen,Jan Mayen,Atlantic-N-Jan Mayen,71.08,-8.17,2277.0,Stratovolcano,Historical,D1
1401-004,Jaraguay Volc Field,Mexico,Mexico,29.33,-114.5,960.0,Cinder cone,Holocene,U
1505-035,"Jayu Khota, Laguna",Bolivia,Bolivia,-19.45,-67.417,3650.0,Maars,Holocene,U
1202-02-,Jefferson,United States,US-Oregon,44.692,-121.8,3199.0,Stratovolcano,Varve Count,D6
1005-04-,Jingpohu,China,China-E,44.08,128.83,500.0,Volcanic field,Radiocarbon,D7
1401-061,Jocotitlan,Mexico,Mexico,19.724,-99.757,3900.0,Stratovolcano,Radiocarbon,D6
1401-062,Jocotitlan,Mexico,Mexico,19.733,-99.758,3900.0,Stratovolcano,Radiocarbon,D6
1202-19-,Jordan Craters,United States,US-Oregon,43.03,-117.42,1473.0,Volcanic field,Holocene,U
1404-101,"Joya, La",Nicaragua,Nicaragua,11.92,-85.98,300.0,Fissure vent,Holocene,U
0601-22=,Kaba,Indonesia,Sumatra,-3.52,102.62,1952.0,Stratovolcano,Historical,D2
0104-03-,Kabargin Oth Group,Georgia,Georgia,42.55,44.0,3650.0,Cinder cone,Holocene,U
0501-002,Kadovar,Papua New Guinea,New Guinea-NE of,-3.62,144.62,365.0,Stratovolcano,Holocene,U
1101-26-,Kagamil,United States,Aleutian Is,52.97,-169.72,893.0,Stratovolcano,Historical,D2
1102-25-,Kaguyak,United States,Alaska Peninsula,58.62,-154.05,901.0,Stratovolcano,Holocene,D7
0804-097,Kaikata Seamount,Japan,Volcano Is-Japan,26.667,141.0,-162.0,Submarine volcano,Fumarolic,U
0401-01=,Kaikohe-Bay of Islands,New Zealand,New Zealand,-35.3,173.9,388.0,Volcanic field,Radiocarbon,D6
1000-62-,Kaileney,Russia,Kamchatka,57.8,160.67,1582.0,Shield volcano,Holocene,U
0804-10=,Kaitoku Seamount,Japan,Volcano Is-Japan,26.122,141.102,-10.0,Submarine volcano,Historical,D1
0701-061,Kalatungan,Philippines,Mindanao-Philippines,7.95,124.8,2824.0,Stratovolcano,Holocene,U
1000-01=,Kambalny,Russia,Kamchatka,51.3,156.87,2156.0,Stratovolcano,Holocene,U
1000-251,Kamen,Russia,Kamchatka,56.02,160.593,4585.0,Stratovolcano,Holocene,U
0505-052,Kana Keoki,Solomon Is.,Solomon Is-SW Pacifi,-8.75,157.03,-700.0,Submarine volcano,Holocene,U
1101-11-,Kanaga,United States,Aleutian Is,51.92,-177.17,1307.0,Stratovolcano,Historical,D1
0702-02=,Kanlaon,Philippines,Philippines-C,10.412,123.132,2435.0,Stratovolcano,Historical,D1
0403-061,Kao,Tonga,Tonga-SW Pacific,-19.667,-175.033,1030.0,Stratovolcano,Holocene,U
0103-011,Karacalidag,Turkey,Turkey,37.67,39.83,1957.0,Shield volcano,Holocene,U
0603-16=,"Karaha, Kawah",Indonesia,Java,-7.12,108.08,1155.0,Fumarole field,Fumarolic,U
0603-02=,Karang,Indonesia,Java,-6.27,106.042,1778.0,Stratovolcano,Holocene,Unknown
0607-02=,Karangetang [Api Siau],Indonesia,Sangihe Is-Indonesia,2.78,125.48,1784.0,Stratovolcano,Historical,D1
0103-001,Karapinar Field,Turkey,Turkey,37.67,33.65,1302.0,Cinder cone,Holocene,D7
0203-04-,Karisimbi,"Congo, DRC",Africa-C,-1.5,29.45,4507.0,Stratovolcano,Holocene,U
0501-03=,Karkar,Papua New Guinea,New Guinea-NE of,-4.649,145.964,1839.0,Stratovolcano,Historical,D1
0900-35=,Karpinsky Group,Russia,Kuril Is,50.13,155.37,1345.0,Cone,Historical,D2
0103-05-,Kars Plateau,Turkey,Turkey,40.75,42.9,3000.0,Volcanic field,Holocene,Unknown
0303-01=,Karthala,Comoros,Indian O-W,-11.75,43.38,2361.0,Shield volcano,Historical,D1
1000-13=,Karymsky,Russia,Kamchatka,54.05,159.43,1536.0,Stratovolcano,Historical,D1
1101-13-,Kasatochi,United States,Aleutian Is,52.18,-175.5,314.0,Stratovolcano,Historical,D1
0104-02-,Kasbek,Georgia,Georgia,42.7,44.5,5050.0,Stratovolcano,Tephrochronology,D7
0804-134,Kasuga,Japan,Volcano Is-Japan,21.77,143.72,-558.0,Submarine volcano,Uncertain,Unknown
1702-03=,Katla,Iceland,Iceland-S,63.63,-19.05,1512.0,Subglacial volcano,Historical,D2
1102-17-,Katmai,United States,Alaska Peninsula,58.27,-154.98,2047.0,Stratovolcano,Historical,D2
0203-005,Katunga,Uganda,Africa-C,-0.47,30.18,1707.0,Tuff cone,Holocene,U
0203-003,Katwe-Kikorongo Field,Uganda,Africa-C,-0.08,29.92,1067.0,Tuff cone,Holocene,U
0505-06=,Kavachi,Solomon Is.,Solomon Is-SW Pacifi,-9.02,157.95,-20.0,Submarine volcano,Historical,D1
0603-281,Kawi-Butak,Indonesia,Java,-7.92,112.45,2651.0,Stratovolcano,Holocene,U
1000-50-,Kebeney,Russia,Kamchatka,57.1,159.93,1527.0,Shield volcano,Holocene,U
1000-41-,Kekurny,Russia,Kamchatka,56.4,158.85,1377.0,Shield volcano,Holocene,U
0604-14=,Kelimutu,Indonesia,Lesser Sunda Is,-8.758,121.83,1640.0,Complex volcano,Historical,D1
1000-041,Kell,Russia,Kamchatka,51.65,157.35,900.0,Stratovolcano,Holocene,U
1005-02-,Keluo Group,China,China-E,49.37,125.92,670.0,Pyroclastic cone,Holocene,U
0603-28=,Kelut,Indonesia,Java,-7.93,112.308,1731.0,Stratovolcano,Historical,D1
0603-11=,Kendang,Indonesia,Java,-7.23,107.72,2608.0,Stratovolcano,Holocene,U
0304-02=,Kerguelen Islands,French Southern & Antarctic Lands,Indian O-S,-49.58,69.5,1840.0,Stratovolcano,Holocene,U
0601-17=,Kerinci,Indonesia,Sumatra,-1.814,101.264,3800.0,Stratovolcano,Historical,D1
0900-20=,Ketoi,Russia,Kuril Is,47.35,152.475,1172.0,Stratovolcano,Historical,D2
1000-272,Khangar,Russia,Kamchatka,54.75,157.38,2000.0,Stratovolcano,Radiocarbon,D7
1003-02-,Khanuy Gol,Mongolia,Mongolia,48.67,102.75,1886.0,Volcanic field,Holocene,U
0900-30=,Kharimkotan,Russia,Kuril Is,49.12,154.508,1145.0,Stratovolcano,Historical,D2
0301-06=,"Khaybar, Harrat",Saudi Arabia,Arabia-W,25.0,39.92,2093.0,Volcanic field,Historical,D6
1000-053,Khodutka,Russia,Kamchatka,52.063,157.703,2090.0,Stratovolcano,Radiocarbon,D7
1102-12-,Kialagvik,United States,Alaska Peninsula,57.38,-156.75,1575.0,Stratovolcano,Holocene,U
0603-03=,Kiaraberes-Gagak,Indonesia,Java,-6.73,106.65,1511.0,Stratovolcano,Historical,D2
1600-16=,Kick-'em-Jenny,Netherlands,W Indies,12.3,-61.63,-177.0,Submarine volcano,Historical,D1
0202-17=,Kieyo,Tanzania,Africa-E,-9.23,33.78,2175.0,Stratovolcano,Historical,D3
0802-06=,Kikai,Japan,Ryukyu Is,30.78,130.28,717.0,Caldera,Historical,D1
1000-18=,Kikhpinych,Russia,Kamchatka,54.487,160.253,1552.0,Stratovolcano,Radiocarbon,D5
1302-01-,Kilauea,United States,Hawaiian Is,19.425,-155.292,1222.0,Shield volcano,Historical,D1
0202-15=,Kilimanjaro,Tanzania,Africa-E,-3.07,37.35,5895.0,Stratovolcano,Holocene,U
1000-551,Kinenin,Russia,Kamchatka,57.35,160.967,583.0,Maar,Radiocarbon,D6
0802-09=,Kirishima,Japan,Kyushu-Japan,31.93,130.87,1700.0,Shield volcano,Historical,D1
0301-071,"Kishb, Harrat",Saudi Arabia,Arabia-W,22.8,41.38,1475.0,Volcanic field,Holocene,U
1101-02-,Kiska,United States,Aleutian Is,52.1,177.6,1220.0,Stratovolcano,Historical,D1
0804-121,Kita-Fukutokutai,Japan,Volcano Is-Japan,24.414,141.419,-73.0,Submarine volcano,Holocene,U1
0804-11=,Kita-Iwo-jima,Japan,Volcano Is-Japan,25.43,141.23,792.0,Stratovolcano,Historical,D2
1000-23=,Kizimen,Russia,Kamchatka,55.13,160.32,2485.0,Stratovolcano,Historical,D2
0606-12=,Klabat,Indonesia,Sulawesi-Indonesia,1.47,125.03,1995.0,Stratovolcano,Fumarolic,U
1000-26=,Kliuchevskoi,Russia,Kamchatka,56.057,160.638,4835.0,Stratovolcano,Historical,D1
1705-01=,Kolbeinsey Ridge,Iceland,Iceland-N of,66.67,-18.5,0.0,Submarine volcano,Historical,D4
1000-221,Kolkhozhny,Russia,Kamchatka,55.07,160.77,2161.0,Stratovolcano,Holocene,U
0900-12=,Kolokol Group,Russia,Kuril Is,46.042,150.05,1328.0,Somma volcano,Historical,D1
0805-02=,Komaga-take,Japan,Hokkaido-Japan,42.07,140.68,1140.0,Stratovolcano,Historical,D1
1000-22=,Komarov,Russia,Kamchatka,55.032,160.72,2070.0,Stratovolcano,Holocene,U
0201-20-,Kone,Ethiopia,Africa-NE,8.8,39.692,1619.0,Caldera,Historical,D3
1101-14-,Koniuji,United States,Aleutian Is,52.22,-175.13,272.0,Stratovolcano,Uncertain,Unknown
1104-03-,Kookooligit Mountains,United States,Alaska-W,63.6,-170.43,673.0,Shield volcano,Holocene,U
0503-003,Koranga,Papua New Guinea,New Guinea,-7.33,146.708,0.0,Explosion crater,Holocene,U
0201-32-,Korath Range,Ethiopia,Africa-NE,5.1,35.88,912.0,Tuff cone,Holocene,Unknown
0405-02-,Koro,Fiji,Fiji Is-SW Pacific,-17.32,179.4,522.0,Cinder cone,Holocene,Unknown
0202-054,Korosi,Kenya,Africa-E,0.77,36.12,1446.0,Shield volcano,Holocene,U
1000-09=,Koryaksky,Russia,Kamchatka,53.32,158.688,3456.0,Stratovolcano,Historical,D2
1000-02=,Koshelev,Russia,Kamchatka,51.357,156.75,1812.0,Stratovolcano,Historical,D5
0205-021,"Koussi, Emi",Chad,Africa-N,19.8,18.53,3415.0,Stratovolcano,Holocene,U
0804-03=,Kozu-shima,Japan,Izu Is-Japan,34.22,139.15,574.0,Lava dome,Historical,D6
1000-33-,Kozyrevsky,Russia,Kamchatka,55.58,158.38,2016.0,Shield volcano,Holocene,U
1703-08=,Krafla,Iceland,Iceland-NE,65.73,-16.78,650.0,Caldera,Historical,D1
1000-40-,Krainy,Russia,Kamchatka,56.37,159.03,1554.0,Shield volcano,Holocene,U
1702-09-,Krakagiger,Iceland,Iceland-S,63.98,-19.7,1491.0,Stratovolcano,Historical,D1
0602-00=,Krakatau,Indonesia,Indonesia,-6.102,105.423,813.0,Caldera,Historical,D1
1000-19=,Krasheninnikov,Russia,Kamchatka,54.593,160.273,1856.0,Caldera,Radiocarbon,D5
1701-17-,Kristnitokugigar,Iceland,Iceland-SW,63.98,-21.42,301.0,Crater rows,Historical,Unknown
1701-03=,Krisuvik,Iceland,Iceland-SW,63.93,-22.1,379.0,Crater rows,Historical,D6
1000-20=,Kronotsky,Russia,Kamchatka,54.753,160.527,3528.0,Stratovolcano,Historical,D2
1000-05=,Ksudach,Russia,Kamchatka,51.8,157.53,1079.0,Stratovolcano,Historical,D2
0802-041,Kuchino-shima,Japan,Ryukyu Is,29.97,129.93,627.0,Stratovolcano,Holocene,D7
0802-043,Kuchino-shima,Japan,Ryukyu Is,29.964,129.928,628.0,Stratovolcanoes,Radiocarbon,D6
0802-05=,Kuchinoerabu-jima,Japan,Ryukyu Is,30.43,130.22,649.0,Stratovolcano,Historical,D1
0801-031,Kuei-Shan-Tao,Taiwan,Taiwan,24.85,121.92,401.0,Stratovolcano,Pleistocene-Fumarol,Q
0802-12=,Kuju Group,Japan,Kyushu-Japan,33.08,131.25,1788.0,Stratovolcano,Historical,D1
1102-23-,Kukak,United States,Alaska Peninsula,58.47,-154.35,2040.0,Stratovolcano,Fumarolic,U
0103-00-,Kula,Turkey,Turkey,38.58,28.52,750.0,Cinder cone,Holocene,U
1000-37-,Kulkev,Russia,Kamchatka,56.37,158.37,915.0,Shield volcano,Holocene,U
1004-03-,Kunlun Volc Group,China,China-W,35.52,80.2,5808.0,Pyroclastic cone,Historical,D2
1102-06-,Kupreanof,United States,Alaska Peninsula,56.02,-159.8,1895.0,Stratovolcano,Historical,D1
0803-21=,Kurikoma,Japan,Honshu-Japan,38.95,140.78,1628.0,Stratovolcano,Historical,D2
1000-023,Kurile Lake,Russia,Kamchatka,51.45,157.12,104.0,Caldera,Radiocarbon,D7
0804-041,Kurose Hole,Japan,Izu Is-Japan,33.4,139.68,-107.0,Submarine volcano,Holocene,Unknown
0804-042,Kurose Hole,Japan,Izu Is-Japan,33.4,139.683,-107.0,Submarine volcano,Holocene?,?
0201-12=,Kurub,Ethiopia,Africa-NE,11.88,41.208,625.0,Shield volcano,Holocene,U
0803-12=,Kusatsu-Shirane,Japan,Honshu-Japan,36.62,138.55,2176.0,Stratovolcano,Historical,D1
0805-08=,Kutcharo,Japan,Hokkaido-Japan,43.55,144.43,1000.0,Caldera,Tephrochronology,D6
0805-034,Kuttara,Japan,Hokkaido-Japan,42.5,141.18,581.0,Stratovolcano,Tephrochronology,D3
0205-04-,Kutum Volc Field,Sudan,Africa-N,14.5,25.8,0.0,Scoria cone,Holocene,Unknown
0507-07=,Kuwae,Vanuatu,Vanuatu-SW Pacific,-16.829,168.536,-2.0,Caldera,Historical,D1
1703-05=,Kverkfjoll,Iceland,Iceland-NE,64.65,-16.72,1920.0,Stratovolcano,Historical,D1
0203-002,Kyatwa Volc Field,Uganda,Africa-C,0.45,30.25,1430.0,Tuff cone,Holocene,Unknown
1803-01-,La Palma,Spain,Canary Is,28.58,-17.83,2426.0,Stratovolcano,Historical,D1
1404-133,"Lajas, Las",Nicaragua,Nicaragua,12.3,-85.73,926.0,Shield volcano,Holocene,Unknown
1702-15-,Lakagigar,Sweden,Iceland-NE,64.42,17.33,1725.0,Caldera,Historical,D1
1702-10-,Lambafit,Iceland,Iceland-S,64.08,-19.4,550.0,Crater rows,Historical,D1
0503-01=,Lamington,Papua New Guinea,New Guinea,-8.95,148.15,1680.0,Stratovolcano,Historical,D2
0603-32=,Lamongan,Indonesia,Java,-8.0,113.342,1651.0,Stratovolcano,Historical,D3
0502-01=,Langila,Papua New Guinea,New Britain-SW Pac,-5.525,148.42,1330.0,Complex volcano,Historical,D1
1701-08=,Langjokull,Iceland,Iceland-SW,64.75,-19.98,1360.0,Stratovolcano,Radiocarbon,D6
1507-122,Lanin,Argentina,Chile-C,-39.633,-71.5,3747.0,Stratovolcano,Holocene,U
1803-06-,Lanzarote,Spain,Canary Is,29.03,-13.63,670.0,Fissure vent,Historical,D3
0101-001,Larderello,Italy,Italy,43.25,10.87,500.0,Explosion crater,Historical,D6
1505-10=,Lascar,Chile,Chile-N,-23.37,-67.73,5592.0,Stratovolcano,Historical,D1
1203-08-,Lassen Volc Center,United States,US-California,40.492,-121.508,3187.0,Stratovolcano,Historical,D2
1505-12=,Lastarria,Chile,Chile-N,-25.17,-68.5,5697.0,Stratovolcano,Holocene,U
0403-09=,Late,Tonga,Tonga-SW Pacific,-18.806,-174.65,518.0,Stratovolcano,Historical,D3
0701-05=,Latukan,Philippines,Mindanao-Philippines,7.65,124.47,2158.0,Stratovolcano,Holocene,U
1508-06=,Lautaro,Chile,Chile-S,-49.02,-73.55,3380.0,Stratovolcano,Historical,D2
1203-19-,Lavic Lake,United States,US-California,34.75,-116.625,1495.0,Volcanic field,Holocene,U
0603-26=,Lawu,Indonesia,Java,-7.625,111.192,3265.0,Stratovolcano,Holocene,U
0705-01-,Leizhou Bandao,China,SE Asia,20.83,109.78,259.0,Volcanic field,Holocene,U
0202-12=,"Lengai, Ol Doinyo",Tanzania,Africa-E,-2.751,35.902,2890.0,Stratovolcano,Historical,D1
0701-031,Leonard Range,Philippines,Mindanao-Philippines,7.393,126.397,1190.0,Stratovolcano,Holocene,U
0604-20=,Leroboleng,Indonesia,Lesser Sunda Is,-8.358,122.842,1117.0,Complex volcano,Historical,D3
1900-12=,Leskov Island,Antarctica,Antarctica,-56.67,-28.13,190.0,Stratovolcano,Fumarolic,U
1000-54-,Leutongey,Russia,Kamchatka,57.3,159.83,1333.0,Shield volcano,Holocene,U
1200-05-,Level Mountain,Canada,Canada,58.42,-131.35,2190.0,Shield volcano,Holocene,U
0604-18=,Lewotobi,Indonesia,Lesser Sunda Is,-8.53,122.775,1703.0,Stratovolcano,Historical,D1
0604-19=,Lewotobi Perempuan,Indonesia,Lesser Sunda Is,-8.575,122.78,1703.0,Stratovolcano,Historical,D1
0604-23=,Lewotolo,Indonesia,Lesser Sunda Is,-8.272,123.505,1423.0,Stratovolcano,Historical,D2
1505-011,Lexone,Chile,Chile-N,-17.87,-69.48,5340.0,Lava dome,Holocene,U
0201-172,Liado Hayk Field,Ethiopia,Africa-NE,9.57,40.28,878.0,Maar,Holocene,Unknown
1600-03=,Liamuiga,St. Kitts & Nevis,W Indies,17.37,-62.8,1156.0,Stratovolcano,Radiocarbon,D6
1505-092,Licancabur,Chile,Chile-N,-22.83,-67.88,5916.0,Stratovolcano,Holocene,U
0504-01=,Lihir,Papua New Guinea,New Ireland-SW Pacif,-3.125,152.642,700.0,Volcanic complex,Holocene,U
1900-06=,Lindenberg Island,Antarctica,Antarctica,-65.03,-60.05,368.0,Pyroclastic cone,Uncertain,Unknown
0101-041,Lipari,Italy,Italy,38.48,14.95,602.0,Stratovolcano,Historical,D6
0101-042,Lipari,Italy,Italy,38.483,14.95,602.0,Stratovolcanoes,Radiocarbon,D6
1101-05-,Little Sitkin,United States,Aleutian Is,51.95,178.53,1188.0,Stratovolcano,Historical,D3
1700-03=,Ljosufjoll,Iceland,Iceland-W,64.87,-22.23,988.0,Fissure vent,Anthropology,D6
1507-11=,Llaima,Chile,Chile-C,-38.692,-71.729,3125.0,Stratovolcano,Historical,D1
1505-11=,Llullaillaco,Argentina,Chile-N,-24.72,-68.53,6739.0,Stratovolcano,Historical,D3
1302-00-,Loihi,United States,Hawaiian Is,18.92,-155.27,-975.0,Submarine volcano,Historical,D1
0606-10=,Lokon-Empung,Indonesia,Sulawesi-Indonesia,1.358,124.792,1580.0,Stratovolcano,Historical,D1
0502-071,Lolo,Papua New Guinea,New Britain-SW Pac,-5.47,150.5,805.0,Stratovolcano,Holocene,Unknown
0502-13=,Lolobau,Papua New Guinea,New Britain-SW Pac,-4.92,151.158,858.0,Caldera,Historical,D2
0505-03=,Loloru,Papua New Guinea,Bougainville-SW Paci,-6.52,155.62,1887.0,Pyroclastic shield,Radiocarbon,D7
0900-351,Lomonosov Group,Russia,Kuril Is,50.25,155.43,1681.0,Cinder cone,Holocene,U
0501-05=,Long Island,Papua New Guinea,New Guinea-NE of,-5.358,147.12,1280.0,Complex volcano,Historical,D1
1507-063,"Longavi, Nevado de",Chile,Chile-C,-36.193,-71.161,3242.0,Stratovolcano,Holocene,U
1005-05-,Longgang Group,China,China-E,42.33,126.5,1000.0,Cinder cone,Radiocarbon,D4
0202-10=,Longonot,Kenya,Africa-E,-0.92,36.45,2776.0,Stratovolcano,Anthropology,D3
1507-10=,Lonquimay,Chile,Chile-C,-38.377,-71.58,2865.0,Stratovolcano,Historical,D1
0507-05=,Lopevi,Vanuatu,Vanuatu-SW Pacific,-16.507,168.346,1413.0,Stratovolcano,Historical,D1
0705-09-,Lower Chindwin,Myanmar,SE Asia,22.28,95.1,385.0,Volcanic field,Holocene,Unknown
0601-111,Lubukraya,Indonesia,Sumatra,1.478,99.209,1862.0,Stratovolcano,Holocene,Unknown
0601-24=,"Lumut Balai, Bukit",Indonesia,Sumatra,-4.22,103.62,2055.0,Stratovolcano,Fumarolic,U
0301-04-,"Lunayyir, Harrat",Saudi Arabia,Arabia-W,25.17,37.75,1370.0,Volcanic field,Historical,D6
0603-321,Lurus,Indonesia,Java,-7.7,113.58,539.0,Complex volcano,Holocene,Unknown
0900-041,Lvinaya Past,Russia,Kuril Is,44.62,147.0,528.0,Stratovolcano,Radiocarbon,D7
1700-02=,Lysuholl,Iceland,Iceland-W,64.87,-23.25,540.0,Pyroclastic cone,Holocene,U
0201-111,Ma Alalta,Ethiopia,Africa-NE,13.02,40.2,1815.0,Stratovolcano,Holocene,U
1508-056,Maca,Chile,Chile-S,-45.1,-73.2,2960.0,Stratovolcano,Holocene,U
0402-021,Macauley Island,New Zealand,Kermadec Is,-30.2,-178.47,238.0,Caldera,Holocene,U
1303-08-,Macdonald,Antarctica,Austral Is-C Pacific,-28.98,-140.25,-50.0,Submarine volcano,Historical,D1
1501-04=,"Machin, Cerro",Colombia,Colombia,4.48,-75.4,2650.0,Stratovolcano,Radiocarbon,D6
